SEAL Corrective - Grid Search (intermediate, 9/9 trials)
lr_energy=[0.0001, 0.0005, 0.001] x lr_task=[0.0001, 0.0005, 0.001]

   lr_energy      lr_task     val_f1    test_f1   epoch     time
----------------------------------------------------------------------
     0.00100      0.00100     0.4559     0.4357      52   103.0s
     0.00050      0.00100     0.4502     0.4393      69   105.6s
     0.00010      0.00100     0.4492     0.4364      51   109.6s
     0.00050      0.00050     0.4428     0.4314      54    99.2s
     0.00100      0.00050     0.4383     0.4317      42   102.3s
     0.00010      0.00050     0.4379     0.4307      48   112.9s
     0.00100      0.00010     0.4271     0.4182      69    97.4s
     0.00050      0.00010     0.4191     0.4111      54    91.6s
     0.00010      0.00010     0.4168     0.4174      69    89.9s
